Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
HUAWEN MDA.INV.'A',CN:HSP,7/29/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Huawen Media Investment 'A'
HUBEI ENERGY GROUP 'A',CN:HSA,5/19/1998,17Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hubei Energy Group 'A'
INSPUR ELT.INFO.IND.'A',CN:LEI,6/8/2000,15Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Inspur Electronic Information Industry 'A'
JIANGSU JIUJIUJIU TECH. 'A',CN:JJT,5/25/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Jiujiujiu Technology 'A'
JIANGSU SHAGANG 'A',CN:GAO,10/25/2006,9Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Shagang 'A'
JIANGSU ZHONGNAN CON.'A',CN:DJC,3/1/2000,16Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Zhongnan Construction 'A'
JIANGXI GANFENG LITHIUM 'A',CN:JGL,8/10/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangxi Ganfeng Lithium 'A'
JILIN AODONG PHARM.GP. 'A',CN:YNB,10/28/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jilin Aodong Pharmaceutical Group 'A'
JIUZHITANG 'A',CN:HUJ,6/28/2000,15Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiuzhitang 'A'
JIZHONG ENERGY RES.'A',CN:HBJ,9/9/1999,16Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jizhong Energy Resources 'A'
JOYOUNG 'A',CN:JCL,5/28/2008,7Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Joyoung 'A'
KINGENTA EENG.GROUP 'A',CN:SKE,9/8/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Kingenta Eeng Group 'A'
LEO GROUP 'A',CN:ZLE,4/27/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,LEO Group 'A'
MUYUAN FOODSTUFF 'A',CN:MUY,1/28/2014,2Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Muyuan Foodstuff 'A'
NETPOSA TECHNOLOGIES 'A',CN:NTP,1/29/2014,2Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Netposa Technologies 'A'
ORG PACKAGING 'A',CN:ORG,10/11/2012,3Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,ORG Packaging 'A'
PANGANG GP.STL.VMTM.'A',CN:PAN,11/15/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Pangang Group Steel Vanadium and Titanium 'A'
QINGDAO TGOOD ELEC.'A',CN:QTE,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Qingdao Tgood Electric 'A'
RISESUN REAL ESTATE DEV. 'A',CN:RRE,8/8/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Risesun Real Estate Development 'A'
SEARAINBOW HOLDING 'A',CN:HSR,11/30/1992,23Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Searainbow Holding 'A'
SHAANXI INTL.TRUST 'A',CN:SIT,1/10/1994,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shaanxi International Trust 'A'
SHAN DONG DONG-E E-JIAO 'A',CN:SDJ,7/29/1996,19Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shan Dong Dong-E E-Jiao 'A'
SHANGHAI 2345 NET.HGP. 'A',CN:HDY,12/12/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanghai 2345 Network HGP 'A'
SHANGHAI BAIRUN FLFR.'A',CN:FFF,3/25/2011,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanghai Bairun Flavor & Fragrance 'A'
SHANGHAI KINGSTAR WINNING SFTW.'A',CN:KWS,8/18/2011,4Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanghai Kingstar Winning Software 'A'
SHANXI BAIYUAN TROUSERS CHAIN MAN.'A',CN:BCM,12/8/2011,4Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanxi Baiyuan Trousers Chain Management 'A'
